Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track/Year
1,11,17,   Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,163,running,2,40,5,Daytona 2023
2,12,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,163,running,6,45,1,Daytona 2023
3,2,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,163,running,3,34,0,Daytona 2023
4,23,9,   Chase Elliott,Llumar   (Rick Hendrick),Chevrolet,163,running,2,37,0,Daytona 2023
5,14,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,163,running,9,39,0,Daytona 2023
6,31,48,   Alex Bowman,Ally Arena   (Rick Hendrick),Chevrolet,163,running,0,38,0,Daytona 2023
7,18,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,163,running,5,39,0,Daytona 2023
8,27,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,163,running,1,35,0,Daytona 2023
9,10,4,   Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,163,running,14,36,0,Daytona 2023
10,37,7,   Corey LaJoie,NEGU   (Spire Motorsports),Chevrolet,163,running,0,27,0,Daytona 2023
11,30,77,   Ty Dillon,Gainbridge   (Spire Motorsports),Chevrolet,163,running,0,26,0,Daytona 2023
12,4,23,   Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,163,running,0,30,0,Daytona 2023
13,39,34,   Michael McDowell,Fr8Auctions   (Bob Jenkins),Ford,163,running,0,24,0,Daytona 2023
14,26,62,   Austin Hill,United Rentals / Beard Oil   (Beard Motorsports),Chevrolet,163,running,0,0,0,Daytona 2023
15,36,13,   Chandler Smith,"Quick Tie Products, Inc.   (Matthew Kaulig)",Chevrolet,163,running,0,0,0,Daytona 2023
16,15,20,   Christopher Bell,Yahoo!   (Joe Gibbs),Toyota,163,running,0,30,0,Daytona 2023
17,25,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,163,running,19,22,0,Daytona 2023
18,24,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,163,running,0,19,0,Daytona 2023
19,33,51,   J.J. Yeley,Biohaven/Jacob Co.   (Rick Ware),Ford,163,running,0,0,0,Daytona 2023
20,22,99,   Daniel Suarez,Freeway.com   (Trackhouse Racing),Chevrolet,163,running,1,26,0,Daytona 2023
21,28,31,   Justin Haley,Celsius   (Matthew Kaulig),Chevrolet,163,running,0,16,0,Daytona 2023
22,29,42,   Josh Berry,Sunseeker Resort   (Legacy Motor Club),Chevrolet,163,running,0,0,0,Daytona 2023
23,38,78,   B.J. McLeod,B'laster   (B.J. McLeod),Chevrolet,163,running,0,14,0,Daytona 2023
24,13,19,   Martin Truex Jr,Bass Pro Shops / Ducks Unlimited   (Joe Gibbs),Toyota,163,running,4,23,1,Daytona 2023
25,20,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,163,running,0,17,0,Daytona 2023
26,19,11,   Denny Hamlin,FedEx Cares   (Joe Gibbs),Toyota,162,running,12,14,0,Daytona 2023
27,7,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,161,running,0,10,0,Daytona 2023
28,3,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,160,running,5,9,0,Daytona 2023
29,17,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,160,running,8,8,0,Daytona 2023
30,1,14,   Chase Briscoe,Magical Vacation Planner   (Stewart Haas Racing),Ford,156,crash,67,9,0,Daytona 2023
31,9,41,   Ryan Preece,RaceChoice.com   (Stewart Haas Racing),Ford,155,crash,0,6,0,Daytona 2023
32,35,38,   Todd Gilliland,Boot Barn   (Bob Jenkins),Ford,131,overheating,0,5,0,Daytona 2023
33,21,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,102,crash,0,7,0,Daytona 2023
34,32,47,   Ricky Stenhouse Jr,Boost by Kroger/Entenmann's   (JTG-Daugherty Racing),Chevrolet,96,crash,1,3,0,Daytona 2023
35,5,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,94,crash,0,9,0,Daytona 2023
36,8,12,   Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,94,crash,4,1,0,Daytona 2023
37,16,2,   Austin Cindric,MenardsCardell Cabinetry   (Roger Penske),Ford,94,crash,0,5,0,Daytona 2023
38,6,36,   Riley Herbst,Monster Energy Zero Sugar   (Bob Jenkins),Ford,94,crash,0,0,0,Daytona 2023
39,34,15,   Brennan Poole,Finance Pro Plus   (Rick Ware),Ford,93,crash,0,0,0,Daytona 2023
1,21,8,   Kyle Busch,Lucas Oil   (Richard Childress),Chevrolet,200,running,27,49,5,Pala Casino 2023 
2,33,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,200,running,1,40,0,Pala Casino 2023 
3,8,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,200,running,91,54,2,Pala Casino 2023 
4,7,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,200,running,0,47,0,Pala Casino 2023 
5,10,4,   Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,200,running,5,42,0,Pala Casino 2023 
6,13,11,   Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,200,running,11,42,0,Pala Casino 2023 
7,16,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,200,running,2,32,0,Pala Casino 2023 
8,4,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,200,running,17,39,0,Pala Casino 2023 
9,28,3,   Austin Dillon,Dow Coatings   (Richard Childress),Chevrolet,200,running,3,28,0,Pala Casino 2023 
10,3,22,   Joey Logano,AAA Southern California   (Roger Penske),Ford,200,running,19,39,0,Pala Casino 2023 
11,14,19,   Martin Truex Jr,Reser's Fine Foods   (Joe Gibbs),Toyota,200,running,0,28,0,Pala Casino 2023 
12,2,47,   Ricky Stenhouse Jr,Ralphs/Tree Top   (JTG-Daugherty Racing),Chevrolet,200,running,0,25,0,Pala Casino 2023 
13,5,17,   Chris Buescher,Pala Casino   (Jack Roush),Ford,200,running,0,24,0,Pala Casino 2023 
14,12,7,   Corey LaJoie,NEGU   (Spire Motorsports),Chevrolet,200,running,0,24,0,Pala Casino 2023 
15,24,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,200,running,0,22,0,Pala Casino 2023 
16,23,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,200,running,0,21,0,Pala Casino 2023 
17,25,38,   Todd Gilliland,LONG JOHN SILVER'S   (Bob Jenkins),Ford,200,running,0,20,0,Pala Casino 2023 
18,26,34,   Michael McDowell,Horizon Hobby   (Bob Jenkins),Ford,200,running,6,19,0,Pala Casino 2023 
19,34,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,200,running,0,18,0,Pala Casino 2023 
20,31,14,   Chase Briscoe,Rush Truck CentersMobilDelvac   (Stewart Haas Racing),Ford,200,running,0,17,0,Pala Casino 2023 
21,29,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,199,running,0,16,0,Pala Casino 2023 
22,20,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,199,running,1,15,0,Pala Casino 2023 
23,22,15,   J.J. Yeley,ActOne Group   (Rick Ware),Ford,199,running,0,14,0,Pala Casino 2023 
24,30,78,   B.J. McLeod,AMERICAN HARTFORD GOLD   (B.J. McLeod),Chevrolet,199,running,0,13,0,Pala Casino 2023 
25,32,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,198,running,0,17,0,Pala Casino 2023 
26,9,12,   Ryan Blaney,Wurth   (Roger Penske),Ford,196,running,16,20,0,Pala Casino 2023 
27,11,51,   Cody Ware,Biohaven   (Rick Ware),Ford,195,running,0,10,0,Pala Casino 2023 
28,19,2,   Austin Cindric,Menards Quaker State   (Roger Penske),Ford,194,running,0,9,0,Pala Casino 2023 
29,15,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,185,running,0,8,0,Pala Casino 2023 
30,18,23,   Bubba Wallace,Leidos   (23XI Racing),Toyota,172,engine,0,7,0,Pala Casino 2023 
31,36,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,140,engine,0,6,0,Pala Casino 2023 
32,1,20,   Christopher Bell,SiriusXM   (Joe Gibbs),Toyota,88,crash,1,5,0,Pala Casino 2023 
33,27,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,87,crash,0,4,0,Pala Casino 2023 
34,35,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,87,crash,0,3,0,Pala Casino 2023 
35,17,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,86,crash,0,2,0,Pala Casino 2023 
36,6,16,   A.J. Allmendinger,Farmsmart   (Matthew Kaulig),Chevrolet,75,crash,0,1,0,Pala Casino 2023 
1,2,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,271,running,176,60,7,Las Vegas 2023
2,6,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,271,running,63,53,0,Las Vegas 2023
3,11,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,271,running,2,46,0,Las Vegas 2023
4,13,23,   Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,271,running,0,41,0,Las Vegas 2023
5,10,20,   Christopher Bell,SiriusXM   (Joe Gibbs),Toyota,271,running,0,45,0,Las Vegas 2023
6,9,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,271,running,0,31,0,Las Vegas 2023
7,15,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,271,running,3,42,0,Las Vegas 2023
8,27,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,271,running,0,29,0,Las Vegas 2023
9,14,4,   Kevin Harvick,Rheem   (Stewart Haas Racing),Ford,271,running,0,29,0,Las Vegas 2023
10,24,99,   Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,271,running,0,27,0,Las Vegas 2023
11,12,11,   Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,271,running,10,35,0,Las Vegas 2023
12,8,1,   Ross Chastain,GlobalTranz   (Trackhouse Racing),Chevrolet,271,running,0,37,0,Las Vegas 2023
13,3,12,   Ryan Blaney,MenardsPennzoil   (Roger Penske),Ford,271,running,0,24,0,Las Vegas 2023
14,5,8,   Kyle Busch,Alsco   (Richard Childress),Chevrolet,271,running,0,25,0,Las Vegas 2023
15,34,45,   Tyler Reddick,Monster Energy   (23XI Racing),Toyota,271,running,3,22,0,Las Vegas 2023
16,21,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,271,running,0,21,0,Las Vegas 2023
17,7,6,   Brad Keselowski,Fastenal   (Jack Roush),Ford,271,running,5,23,0,Las Vegas 2023
18,23,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,271,running,0,19,0,Las Vegas 2023
19,22,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,270,crash,0,18,0,Las Vegas 2023
20,19,7,   Corey LaJoie,EnviroXstream   (Spire Motorsports),Chevrolet,270,running,0,17,0,Las Vegas 2023
21,18,17,   Chris Buescher,Nexletol   (Jack Roush),Ford,270,running,0,16,0,Las Vegas 2023
22,4,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,270,running,0,15,0,Las Vegas 2023
23,31,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,270,running,0,14,0,Las Vegas 2023
24,16,47,   Ricky Stenhouse Jr,Smith's/Coca-Cola Zero Sugar   (JTG-Daugherty Racing),Chevrolet,270,running,0,13,0,Las Vegas 2023
25,17,34,   Michael McDowell,Quincy Compressor   (Bob Jenkins),Ford,270,running,0,12,0,Las Vegas 2023
26,35,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,269,running,0,11,0,Las Vegas 2023
27,26,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,269,running,0,10,0,Las Vegas 2023
28,20,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,269,running,0,9,0,Las Vegas 2023
29,32,9,   Josh Berry,NAPA Auto Parts   (Rick Hendrick),Chevrolet,269,running,0,0,0,Las Vegas 2023
30,25,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,269,running,0,7,0,Las Vegas 2023
31,28,38,   Todd Gilliland,Ruedebusch   (Bob Jenkins),Ford,268,running,0,6,0,Las Vegas 2023
32,36,78,   B.J. McLeod,Circle B Diecast   (B.J. McLeod),Chevrolet,266,running,0,5,0,Las Vegas 2023
33,29,15,   J.J. Yeley,OTR Mobile   (Rick Ware),Ford,265,running,0,4,0,Las Vegas 2023
34,33,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,265,running,0,3,0,Las Vegas 2023
35,30,51,   Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,259,running,0,2,0,Las Vegas 2023
36,1,22,   Joey Logano,Pennzoil   (Roger Penske),Ford,183,dvp,9,1,0,Las Vegas 2023
1,3,24,   William Byron,Valvoline   (Rick Hendrick),Chevrolet,317,running,64,59,6,Pheonix 2023
2,8,12,   Ryan Blaney,Dent Wizard   (Roger Penske),Ford,317,running,0,43,0,Pheonix 2023
3,12,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,317,running,0,46,0,Pheonix 2023
4,1,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,317,running,201,52,1,Pheonix 2023
